"","months","neighbourhood_cleansed","price"
"325",2020-05-01,"EAST PILBARA",90.7142857142857
"326",2020-06-01,"EAST PILBARA",91.1428571428571
"327",2020-12-01,"EAST PILBARA",126.666666666667
"328",2021-01-01,"EAST PILBARA",125
"329",2021-02-01,"EAST PILBARA",120.888888888889
"330",2021-03-01,"EAST PILBARA",120.777777777778
"331",2020-05-01,"ESPERANCE",176.165413533835
"332",2020-06-01,"ESPERANCE",176.783582089552
"333",2020-10-01,"ESPERANCE",102.75
"334",2020-11-01,"ESPERANCE",115.538461538462
"335",2020-12-01,"ESPERANCE",215.14598540146
"336",2021-01-01,"ESPERANCE",219.436090225564
"337",2021-02-01,"ESPERANCE",201.614173228346
"338",2021-03-01,"ESPERANCE",205.98275862069
"339",2021-04-01,"ESPERANCE",196.727272727273
"340",2020-05-01,"EXMOUTH",220.742647058824
"341",2020-06-01,"EXMOUTH",218.481751824818
"342",2020-10-01,"EXMOUTH",166.461538461538
"343",2020-11-01,"EXMOUTH",164.125
"344",2020-12-01,"EXMOUTH",234.112
"345",2021-01-01,"EXMOUTH",235.703125
"346",2021-02-01,"EXMOUTH",264.945945945946
"347",2021-03-01,"EXMOUTH",248.8
"348",2021-04-01,"EXMOUTH",185
"349",2020-05-01,"FREMANTLE",133.727564102564
"350",2020-06-01,"FREMANTLE",132.74025974026
"351",2020-10-01,"FREMANTLE",132.263713080169
"352",2020-11-01,"FREMANTLE",134.876543209877
"353",2020-12-01,"FREMANTLE",151.420944558522
"354",2021-01-01,"FREMANTLE",145.430020283976
"355",2021-02-01,"FREMANTLE",142.162271805274
"356",2021-03-01,"FREMANTLE",143.210407239819
"357",2021-04-01,"FREMANTLE",126.923076923077
"358",2020-05-01,"GINGIN",219.966850828729
"359",2020-06-01,"GINGIN",223.043010752688
"360",2020-10-01,"GINGIN",210.554621848739
"361",2020-11-01,"GINGIN",212.371900826446
"362",2020-12-01,"GINGIN",243.841530054645
"363",2021-01-01,"GINGIN",244.393258426966
"364",2021-02-01,"GINGIN",240.48128342246
"365",2021-03-01,"GINGIN",240.899441340782
"366",2021-04-01,"GINGIN",193.8
"367",2020-05-01,"GNOWANGERUP",132.333333333333
"368",2020-06-01,"GNOWANGERUP",127.333333333333
"369",2020-10-01,"GNOWANGERUP",129.285714285714
"370",2020-11-01,"GNOWANGERUP",127.375
"371",2020-12-01,"GNOWANGERUP",145.875
"372",2021-01-01,"GNOWANGERUP",141.875
"373",2021-02-01,"GNOWANGERUP",145
"374",2021-03-01,"GNOWANGERUP",146.25
"375",2020-05-01,"GOOMALLING",130
"376",2020-06-01,"GOOMALLING",130
"377",2020-10-01,"GOOMALLING",130
"378",2020-11-01,"GOOMALLING",130
"379",2020-12-01,"GOOMALLING",130
"380",2021-01-01,"GOOMALLING",130
"381",2021-02-01,"GOOMALLING",130
"382",2021-03-01,"GOOMALLING",130
"383",2020-05-01,"GOSNELLS",82.8323699421965
"384",2020-06-01,"GOSNELLS",82.2307692307692
"385",2020-10-01,"GOSNELLS",85.4222222222222
"386",2020-11-01,"GOSNELLS",86.1884057971015
"387",2020-12-01,"GOSNELLS",88.3731343283582
"388",2021-01-01,"GOSNELLS",83.6277372262774
"389",2021-02-01,"GOSNELLS",87.0923076923077
"390",2021-03-01,"GOSNELLS",88.8
"391",2021-04-01,"GOSNELLS",81
"392",2020-05-01,"GREATER GERALDTON",112.416149068323
"393",2020-06-01,"GREATER GERALDTON",112.943037974684
"394",2020-10-01,"GREATER GERALDTON",69.5
"395",2020-11-01,"GREATER GERALDTON",116.081081081081
"396",2020-12-01,"GREATER GERALDTON",126.034482758621
"397",2021-01-01,"GREATER GERALDTON",121.592857142857
"398",2021-02-01,"GREATER GERALDTON",119.148936170213
"399",2021-03-01,"GREATER GERALDTON",119.111111111111
"400",2021-04-01,"GREATER GERALDTON",130.083333333333
"401",2020-05-01,"HARVEY",179.984126984127
"402",2020-06-01,"HARVEY",175.15873015873
"403",2020-10-01,"HARVEY",176.694915254237
"404",2020-11-01,"HARVEY",180.606557377049
"405",2020-12-01,"HARVEY",207.581818181818
"406",2021-01-01,"HARVEY",203.4
"407",2021-02-01,"HARVEY",189.254545454545
"408",2021-03-01,"HARVEY",182.196721311475
"409",2021-04-01,"HARVEY",120
"410",2020-05-01,"IRWIN",148.054054054054
"411",2020-06-01,"IRWIN",149.194444444444
"412",2020-10-01,"IRWIN",106.727272727273
"413",2020-11-01,"IRWIN",123.375
"414",2020-12-01,"IRWIN",129.777777777778
"415",2021-01-01,"IRWIN",126
"416",2021-02-01,"IRWIN",123.166666666667
"417",2021-03-01,"IRWIN",126.166666666667
"418",2020-05-01,"JERRAMUNGUP",158.793103448276
"419",2020-06-01,"JERRAMUNGUP",158.793103448276
"420",2020-10-01,"JERRAMUNGUP",173
"421",2020-11-01,"JERRAMUNGUP",173
"422",2020-12-01,"JERRAMUNGUP",173
"423",2021-01-01,"JERRAMUNGUP",173
"424",2021-02-01,"JERRAMUNGUP",173
"425",2021-03-01,"JERRAMUNGUP",173
"426",2020-05-01,"JOONDALUP",119.299727520436
"427",2020-06-01,"JOONDALUP",118.908847184987
"428",2020-10-01,"JOONDALUP",115.56
"429",2020-11-01,"JOONDALUP",116.996655518395
"430",2020-12-01,"JOONDALUP",122.555172413793
"431",2021-01-01,"JOONDALUP",117.076923076923
"432",2021-02-01,"JOONDALUP",118.580756013746
"433",2021-03-01,"JOONDALUP",117.434782608696
"434",2021-04-01,"JOONDALUP",90.3
"435",2020-05-01,"KALAMUNDA",100.987951807229
"436",2020-06-01,"KALAMUNDA",103.228915662651
"437",2020-10-01,"KALAMUNDA",112.138461538462
"438",2020-11-01,"KALAMUNDA",110.014705882353
"439",2020-12-01,"KALAMUNDA",123.166666666667
"440",2021-01-01,"KALAMUNDA",119.787878787879
"441",2021-02-01,"KALAMUNDA",115.301587301587
"442",2021-03-01,"KALAMUNDA",115.877192982456
"443",2021-04-01,"KALAMUNDA",102.75
"444",2020-05-01,"KALGOORLIE-BOULDER",134.764705882353
"445",2020-06-01,"KALGOORLIE-BOULDER",137.8
"446",2020-12-01,"KALGOORLIE-BOULDER",140.148148148148
"447",2021-01-01,"KALGOORLIE-BOULDER",140
"448",2021-02-01,"KALGOORLIE-BOULDER",141.288461538462
"449",2021-03-01,"KALGOORLIE-BOULDER",140.88
"450",2021-04-01,"KALGOORLIE-BOULDER",175
"451",2020-05-01,"KARRATHA",150.75
"452",2020-06-01,"KARRATHA",150.5
"453",2020-12-01,"KARRATHA",137.5
"454",2021-01-01,"KARRATHA",137.5
"455",2021-02-01,"KARRATHA",137.5
"456",2021-03-01,"KARRATHA",140
"457",2020-05-01,"KATANNING",134.285714285714
"458",2020-06-01,"KATANNING",134.142857142857
"459",2020-10-01,"KATANNING",137.25
"460",2020-11-01,"KATANNING",141
"461",2020-12-01,"KATANNING",142.125
"462",2021-01-01,"KATANNING",138.666666666667
"463",2021-02-01,"KATANNING",139.555555555556
"464",2021-03-01,"KATANNING",139.777777777778
"465",2020-05-01,"KELLERBERRIN",106
"466",2020-06-01,"KELLERBERRIN",104
"467",2020-05-01,"KOJONUP",147.833333333333
"468",2020-06-01,"KOJONUP",155.444444444444
"469",2020-10-01,"KOJONUP",135.555555555556
"470",2020-11-01,"KOJONUP",137.777777777778
"471",2020-12-01,"KOJONUP",138.111111111111
"472",2021-01-01,"KOJONUP",137.777777777778
"473",2021-02-01,"KOJONUP",135.4
"474",2021-03-01,"KOJONUP",135.555555555556
"475",2021-04-01,"KOJONUP",150
"476",2020-05-01,"KONDININ",107.666666666667
"477",2020-06-01,"KONDININ",103.866666666667
"478",2020-10-01,"KONDININ",104.307692307692
"479",2020-11-01,"KONDININ",104.538461538462
"480",2020-12-01,"KONDININ",106.538461538462
"481",2021-01-01,"KONDININ",112.615384615385
"482",2021-02-01,"KONDININ",111.384615384615
"483",2021-03-01,"KONDININ",108.083333333333
"484",2021-04-01,"KONDININ",148
"485",2020-05-01,"KULIN",153
"486",2020-06-01,"KULIN",152
"487",2020-10-01,"KULIN",146.25
"488",2020-11-01,"KULIN",141
"489",2020-12-01,"KULIN",166.833333333333
"490",2021-01-01,"KULIN",146.666666666667
"491",2021-02-01,"KULIN",147
"492",2021-03-01,"KULIN",147
"493",2020-05-01,"KWINANA",66.6666666666667
"494",2020-06-01,"KWINANA",62.725
"495",2020-10-01,"KWINANA",64.2258064516129
"496",2020-11-01,"KWINANA",66.5172413793103
"497",2020-12-01,"KWINANA",68.6428571428571
"498",2021-01-01,"KWINANA",67.7931034482759
"499",2021-02-01,"KWINANA",66.8
"500",2021-03-01,"KWINANA",61.3333333333333
"501",2021-04-01,"KWINANA",261
"502",2020-05-01,"LAKE GRACE",129.75
"503",2020-06-01,"LAKE GRACE",131.333333333333
"504",2020-10-01,"LAKE GRACE",120.25
"505",2020-11-01,"LAKE GRACE",124
"506",2020-12-01,"LAKE GRACE",113.5
"507",2021-01-01,"LAKE GRACE",112.5
"508",2021-02-01,"LAKE GRACE",118
"509",2021-03-01,"LAKE GRACE",117.5
"510",2020-05-01,"LAVERTON",160
